y_true,y_proba,y_pred
0,0.005642367467359532,0
0,0.011163788483123304,0
1,0.10035919722500146,1
0,0.011306395415927517,0
0,0.005670775356252883,0
0,0.009527037783600135,0
0,0.028175013148664784,0
0,0.16186174603960893,1
0,0.47848851224851763,1
0,0.031205044152611588,0
1,0.017615700934292898,0
1,0.024743854032041494,0
0,0.00310286826609143,0
0,0.0006155050318636458,0
1,0.590915816328433,1
0,0.23649846212673722,1
0,0.0008219379187593448,0
0,0.00039745456368035667,0
0,0.0011140509493678945,0
0,0.47143664799819224,1
0,0.031330061202327925,0
0,0.0017212855935091074,0
0,0.006966391657993021,0
1,0.21892534653539847,1
0,0.015063303941606475,0
0,0.0034264529003922195,0
0,0.010212271044303502,0
0,0.01791576909551251,0
0,0.05603187507462868,0
0,0.4709535533672815,1
0,0.08463994003780341,1
0,0.03899312824888426,0
0,0.002052734144503203,0
0,0.029758630573084557,0
0,0.8474769481976917,1
0,0.0022669299068260908,0
0,0.22377076414181418,1
0,0.006802114879339094,0
1,0.35282386707713664,1
0,0.016183999094502754,0
1,0.06224773180369422,1
0,0.00018503318501757995,0
0,0.01398890132156374,0
0,0.2000602985528335,1
0,0.5764091900756306,1
1,0.004104968901856356,0
0,0.12025461656741776,1
0,0.12807622272725502,1
1,0.008209659806710186,0
1,0.006296661087262184,0
1,0.006284228973950111,0
0,0.3517563738182213,1
0,0.04860026504444104,0
0,0.003580050147903875,0
0,0.09170858727099052,1
0,0.026305617235970146,0
0,0.015133561366536229,0
1,0.0675393681590381,1
1,0.019254066091055736,0
0,0.0053949215143410485,0
0,0.31405055645110236,1
0,0.6765450218944762,1
1,0.011353577225515289,0
0,0.00210903875998339,0
1,0.0031721874206588796,0
0,0.004327810473938783,0
0,0.026098246227499032,0
0,0.031044743402593288,0
0,0.014665911166622903,0
0,0.042164304027118835,0
0,0.03633992301408131,0
0,0.01417387824345582,0
0,0.00220314763635488,0
0,0.08753500277202352,1
0,0.013721985797482544,0
0,0.006243075996446487,0
0,0.06188694459058051,1
0,0.04689649828614935,0
0,0.08360673220424347,1
0,0.01859186809548794,0
0,0.0059701283334827274,0
0,0.19615382652138608,1
1,0.03494437353476321,0
0,0.05205155705671893,0
0,0.02252744502146005,0
0,0.0007296892033773477,0
0,0.004699642760446028,0
0,0.02960490780580981,0
0,0.030868648120827482,0
0,0.0010674193522793938,0
0,0.048527682232453684,0
0,0.02477351949446371,0
0,0.0011327141569967322,0
0,0.01231120169915941,0
0,0.0021527950537198934,0
0,0.010113103760074196,0
1,0.04140746025619617,0
0,0.000779518974950891,0
0,0.0024021642269169636,0
0,0.05699857220685177,0
0,0.0010514885156782114,0
0,0.0020126063686501487,0
0,0.10318874903565696,1
0,0.0024544787781571914,0
0,0.0025567035225300947,0
0,0.005607006461716623,0
0,0.001665066377369486,0
0,0.0019717098634376854,0
0,0.008296457660913144,0
0,0.0034360348575693533,0
0,0.06245637977055158,1
0,0.011260506460295068,0
0,0.03882546474431971,0
0,0.009336635545085561,0
0,0.004447616390866569,0
1,0.22098806931485757,1
0,0.00879405005052768,0
0,0.003554964933573842,0
0,0.017633619997886804,0
0,0.4756494536043913,1
0,0.3187027431964914,1
0,0.06921110139137063,1
0,0.0006288800557315362,0
0,0.03823227394372643,0
0,0.057292811936253636,0
0,0.003221379812125448,0
0,0.009459869842610515,0
